# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = bernoulli_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       iter = 50 (Default)
#     tol_rel_obj = 0.01 (Default)
#     eval_elbo = 100 (Default)
#     output_samples = 10000
# id = 4
# data
#   file = bernoulli_4.data.R
# init = 2 (Default)
# random
#   seed = 2640066759
# output
#   file = bernoulli_variational_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,log_p__,log_g__,theta
# Stepsize adaptation complete.
# eta = 1
0,0,0,0.307445
0,-8.00017,-0.454285,0.454076
0,-8.25784,-0.703639,0.492333
0,-7.71482,-0.145887,0.387868
0,-7.6389,-0.0105279,0.328162
0,-7.97434,-0.184388,0.229328
0,-7.68466,-0.106403,0.375611
0,-7.73787,-0.174083,0.3957
0,-7.954,-0.169463,0.232263
0,-7.6917,-0.00809655,0.289891
0,-8.13795,-0.310731,0.208932
0,-7.7987,-0.243965,0.412905
0,-8.59472,-0.704318,0.168837
0,-8.27898,-0.42675,0.194561
0,-8.05584,-0.246045,0.218544
0,-7.74893,-0.187208,0.399145
0,-7.65246,-0.0567379,0.35659
0,-8.01842,-0.217382,0.22332
0,-8.98945,-1.07895,0.144337
0,-7.73265,-0.0264818,0.276141
0,-8.12832,-0.580031,0.474368
0,-8.09923,-0.279931,0.21333
0,-7.99783,-0.201865,0.22607
0,-8.06417,-0.517605,0.464588
0,-8.11342,-0.565613,0.472156
0,-8.39566,-0.832487,0.509466
0,-8.08806,-0.540962,0.46831
0,-7.73793,-0.0292053,0.274623
0,-7.71699,-0.148603,0.388651
0,-8.25119,-0.697359,0.49146
0,-11.7417,-4.32499,0.0601194
0,-7.97102,-0.425031,0.448986
0,-7.8965,-0.128459,0.241225
0,-9.14895,-1.23785,0.136045
0,-8.03858,-0.492424,0.460485
0,-7.65412,-9.09871e-05,0.30934
0,-7.80444,-0.0675368,0.258422
0,-8.30272,-0.745862,0.498108
0,-7.93751,-0.39103,0.442859
0,-8.46926,-0.900432,0.517961
0,-7.63837,-0.013113,0.330612
0,-7.75339,-0.192427,0.400484
0,-9.10109,-1.18974,0.138454
0,-7.75932,-0.040788,0.268896
0,-7.69864,-0.12518,0.381662
0,-8.17336,-0.339313,0.205098
0,-7.63843,-0.0127233,0.330259
0,-7.72926,-0.163699,0.392889
0,-8.32535,-0.466077,0.190299
0,-7.65369,-0.000124563,0.309663
0,-7.64467,-0.00274978,0.317943
0,-7.82644,-0.0814369,0.253898
0,-7.64094,-0.00617986,0.323253
0,-9.70982,-2.00205,0.62387
0,-7.76031,-0.200481,0.402518
0,-7.64427,-0.0400082,0.348472
0,-8.62014,-0.727582,0.167048
0,-7.76959,-0.211162,0.405158
0,-8.4905,-0.610282,0.17656
0,-7.72304,-0.0217021,0.27902
0,-7.78594,-0.229711,0.409602
0,-11.2782,-3.70759,0.0687649
0,-8.01529,-0.469353,0.456637
0,-10.1647,-2.39745,0.652559
0,-8.50573,-0.933902,0.522024
0,-7.6669,-0.0806804,0.366447
0,-9.40746,-1.73793,0.602522
0,-7.63817,-0.0159578,0.333052
0,-8.57089,-0.682626,0.170547
0,-8.15248,-0.322413,0.207338
0,-7.65811,-2.03937e-05,0.30655
0,-7.83257,-0.0853931,0.252691
0,-10.1511,-2.32312,0.0969175
0,-8.73934,-0.838332,0.159088
0,-8.46897,-0.591141,0.178238
0,-8.13976,-0.312183,0.208732
0,-7.66264,-0.000357439,0.303708
0,-9.75295,-2.03962,0.626754
0,-8.05917,-0.512694,0.463796
0,-7.65423,-0.0599311,0.358004
0,-8.81763,-0.912481,0.15421
0,-7.72947,-0.0248778,0.277074
0,-7.91856,-0.143967,0.23766
0,-8.66115,-1.07537,0.538408
0,-7.9866,-0.440708,0.451734
0,-9.52516,-1.62825,0.11912
0,-8.86913,-0.961847,0.151138
0,-8.04839,-0.240294,0.219473
0,-7.83358,-0.0860506,0.252493
0,-8.78657,-0.882932,0.156115
0,-8.23792,-0.68481,0.489702
0,-9.51424,-1.61662,0.119567
0,-7.65855,-3.59659e-05,0.306257
0,-7.79764,-0.0633401,0.25989
0,-8.10393,-0.556405,0.470729
0,-7.76051,-0.200709,0.402575
0,-9.99767,-2.25244,0.642448
0,-7.97752,-0.431587,0.450141
0,-8.26212,-0.412583,0.196162
0,-7.68918,-0.00718156,0.290896
0,-7.66604,-0.00083126,0.301756
0,-8.54705,-0.661032,0.17229
0,-7.87365,-0.112721,0.245112
0,-8.40522,-0.841351,0.510594
0,-7.82756,-0.275625,0.419939
0,-7.6674,-0.00106494,0.30101
0,-7.93486,-0.388319,0.44236
0,-8.48634,-0.606574,0.176882
0,-8.58135,-0.692131,0.169793
0,-7.66852,-0.00127458,0.300409
0,-7.76306,-0.0428966,0.267953
0,-7.68032,-0.10036,0.373559
0,-7.66127,-0.071818,0.362982
0,-8.92058,-1.01163,0.148167
0,-7.68819,-0.00682804,0.291302
0,-8.34461,-0.482565,0.188587
0,-7.86237,-0.105087,0.247112
0,-8.57741,-0.688553,0.170076
0,-7.64734,-0.00146381,0.315085
0,-8.98169,-1.07132,0.144761
0,-8.64353,-0.749105,0.165431
0,-8.64457,-0.750064,0.165359
0,-8.08063,-0.533709,0.467163
0,-8.48273,-0.912807,0.519472
0,-7.81388,-0.0734404,0.256442
0,-7.63978,-0.0081641,0.325651
0,-7.86129,-0.311791,0.427533
0,-8.0397,-0.493526,0.460667
0,-8.55397,-0.978011,0.527265
0,-8.87445,-0.966977,0.150826
0,-7.79311,-0.237739,0.411473
0,-7.64775,-0.0013138,0.314681
